position,word,freq,label,function,item,activation
10,pieces,6271.875,gram_high,NNS,19,-0.5596603554378805
11,together,28080.0,gram_high,RB,19,0.9442567814842326
12,in,2118706.875,gram_high,IN,19,5.2716165665251795
13,under,68662.125,gram_high,IN,19,1.8399672224185286
14,a,2419745.625,gram_high,DT,19,5.404505368361806
15,minute,10098.0,gram_high,NN,19,-0.08137325520315165
16,.,24.75,gram_high,.,19,-6.2500316988811715
1,the,6961417.875,gram_high,DT,20,6.461418845027831
2,instructor,659.25,gram_high,NN,20,-2.8317505775907215
3,taught,4396.5,gram_high,VBD,20,-0.916707325150304
4,an,387051.75,gram_high,DT,20,3.5709409332100446
5,optional,1081.125,gram_high,JJ,20,-2.3307205937078
6,class,20417.625,gram_high,NN,20,0.6248294691152033
7,for,958188.375,gram_high,IN,20,4.477855445776505
8,the,6961417.875,gram_high,DT,20,6.461418845027831
9,students,16427.25,gram_high,NNS,20,0.40679311382882744
10,who,232455.375,gram_high,WP,20,3.0607401348152368
11,wondered,5450.625,gram_high,VBD,20,-0.700663529712245
12,about,221755.5,gram_high,IN,20,3.0135808560041815
13,the,6961417.875,gram_high,DT,20,6.461418845027831
14,details,13271.625,gram_high,NNS,20,0.19282238679763833
15,of,3309513.75,gram_high,IN,20,5.717712269505563
16,the,6961417.875,gram_high,DT,20,6.461418845027831
17,experiment,3526.875,gram_high,NN,20,-1.1384557569688427
18,.,24.75,gram_high,.,20,-6.2500316988811715
1,it,1225753.875,gram_high,PRP,21,4.724208657999368
2,was,1039471.875,gram_high,VBD,21,4.559308638799121
3,of,3309513.75,gram_high,IN,21,5.717712269505563
4,concern,11722.5,gram_high,NN,21,0.06830042367102891
5,to,2880389.25,gram_high,TO,21,5.578807643890024
6,the,6961417.875,gram_high,DT,21,6.461418845027831
7,tourists,1685.25,gram_high,NNS,21,-1.8824001760101252
8,that,1254804.75,gram_high,IN,21,4.747640315532376
9,the,6961417.875,gram_high,DT,21,6.461418845027831
