activation	item	position	word	retrieve_wh	reanalysis	agreeing_actions	matching_fs	fan_size	condition
5.96731734625712	15	5	clerk	None	no	3.33333333333333	9.66666666666667	687697.683501684	obj_ext
7.66265212260731	15	6	pushed	yes	yes	3.09090909090909	10.4545454545455	1326566.71942149	obj_ext
5.83513997035236	15	7	into	None	no	3	7.66666666666667	1701497.73913044	obj_ext
6.07418645008134	15	8	the	None	no	3	8	1600135.125	obj_ext
6.93515122448217	15	9	clothes	None	no	3	11.5357142857143	1399991.82165989	obj_ext
4.39770081016587	15	10	rack	None	no	2	13	1040027.53846154	obj_ext
2.09916066588863	16	1	the	None	no	2	6.5	1440528.92307692	obj_ext
5.98597782117603	16	2	plumber	None	no	3	8.33333333333333	1636418.95357143	obj_ext
10.9359338699241	16	3	who	None	yes	3.5	12.75	1028324.78653846	obj_ext
7.53049629107731	16	4	the	None	no	3	10	578399.1	obj_ext
5.96731734625712	16	5	carpenter	None	no	3.33333333333333	9.66666666666667	687697.683501684	obj_ext
7.31797834564262	16	6	drove	yes	yes	3	11.030303030303	1288725.96884164	obj_ext
6.80835771491923	16	7	to	None	no	3	9.33333333333333	1487374.07142857	obj_ext
7.49673443450602	16	8	the	None	no	5	10	2288468.5	obj_ext
7.43848206590129	16	9	worksite	None	no	3.92857142857143	12.9553571428571	1803970.01869252	obj_ext
4.03624285114405	16	10	used	None	yes	2	10.5	1090655.61904762	obj_ext
2.09916066588863	1	1	the	None	no	2	6.5	1440528.92307692	subj_ext
6.05139045588433	1	2	reporter	None	no	3	8.33333333333333	1629456.14404762	subj_ext
10.9359338699241	1	3	who	None	no	3.5	12.75	1028324.78653846	subj_ext
10.8721081449288	1	4	sent	None	no	3	11.6666666666667	1176149.05714286	subj_ext
8.07194526729861	1	5	the	None	no	3	9.66666666666667	1359432.51724138	subj_ext
6.12924386179683	1	6	photographer	None	yes	3	7	1867352.28571429	subj_ext
7.31188036253485	1	7	to	None	no	3	9.33333333333333	1479237.96428571	subj_ext
7.92678471111823	1	8	the	None	no	3	10	1390528.8	subj_ext
6.51650283330432	1	9	editor	None	yes	2.33333333333333	13.7222222222222	1057756.46778712	subj_ext
7.35638330312584	1	10	was	None	no	3	9	1536085	subj_ext
2.09916066588863	2	1	the	None	no	2	6.5	1440528.92307692	subj_ext
6.06950099350148	2	2	woman	None	no	2.66666666666667	9.88888888888889	1355785.31608993	subj_ext
10.4580085423922	2	3	who	None	no	2.75	14.75	792105.768504128	subj_ext
7.61016880359725	2	4	pushed	None	no	2	19.5	710359.846153846	subj_ext
8.4972392290792	2	5	the	None	no	3	10	1314294.3	subj_ext
2.34795362908766	2	6	man	None	yes	1	22	551995.545454545	subj_ext
4.30130273602395	2	7	into	None	no	2	10	1201709.1	subj_ext
4.92050813312863	2	8	the	None	no	18	7	11418778.2857143	subj_ext
9.03368085449351	2	9	table	None	no	2.92857142857143	12.5714285714286	1275450.34567249	subj_ext
6.85387035340457	2	10	left	None	no	3	9	1540337.88888889	subj_ext
2.09916066588863	3	1	the	None	no	2	6.5	1440528.92307692	subj_ext
5.98597782117603	3	2	singer	None	no	3	8.33333333333333	1636418.95357143	subj_ext
10.9359338699241	3	3	who	None	no	3.5	12.75	1028324.78653846	subj_ext
10.24670692469	3	4	introduced	None	no	3	11.6666666666667	1164816.77142857	subj_ext
8.25268324164819	3	5	the	None	no	3	9.33333333333333	1402332.96428571	subj_ext
9.36930873697725	3	6	composer	None	yes	3	12.7575757575758	1220442.74201055	subj_ext
6.89993633285957	3	7	to	None	no	3	9	1494179.66666667	subj_ext
6.1743126261388	3	8	the	None	no	3	8	1582758.75	subj_ext
5.51681449704903	3	9	musician	None	yes	2.33333333333333	16.3333333333333	1123052.95378788	subj_ext
5.9193512881039	3	10	was	None	no	3	7	1815630.85714286	subj_ext
2.09916066588863	4	1	the	None	no	2	6.5	1440528.92307692	subj_ext
4.85889937736243	4	2	boy	None	no	2.33333333333333	12.6666666666667	1255480.69166667	subj_ext
10.9359338699241	4	3	who	None	no	3.5	12.75	1028324.78653846	subj_ext
3.86826961056228	4	4	pulled	None	no	1	35	332387.028571429	subj_ext
8.01863613144381	4	5	the	None	no	3	10	1314294.3	subj_ext
9.05847367121062	4	6	girl	None	no	3.18181818181818	13.5	1286229.3971414	subj_ext
5.51592972231439	4	7	into	None	no	3	8	1723041	subj_ext
5.63036698214593	4	8	the	None	no	14	8	7649666.5	subj_ext
5.65566255779679	4	9	mud	None	no	3.28571428571429	9.9047619047619	1643888.53139717	subj_ext
6.59883798546921	4	10	had	None	no	14	8	7751906.75	subj_ext
2.09916066588863	5	1	the	None	no	2	6.5	1440528.92307692	subj_ext
5.98597782117603	5	2	hiker	None	no	3	8.33333333333333	1636418.95357143	subj_ext
10.9359338699241	5	3	who	None	no	3.5	12.75	1028324.78653846	subj_ext
11.2690231040943	5	4	took	None	no	3	12	1154281.5	subj_ext
8.55752252563292	5	5	the	None	no	3	9.66666666666667	1354158.93103448	subj_ext
9.53428453793685	5	6	ranger	None	yes	3	13.2575757575758	1228809.8371062	subj_ext
7.34233635059121	5	7	to	None	no	3	9.66666666666667	1511049.72413793	subj_ext
7.27834605315932	5	8	the	None	no	3	9.33333333333333	1468568.78571429	subj_ext
6.8745384681766	5	9	campsite	None	yes	2.66666666666667	11.5555555555556	1270396.38722944	subj_ext
2.97662347885107	5	10	was	None	no	2	9	1432012.55555556	subj_ext
2.09916066588863	6	1	the	None	no	2	6.5	1440528.92307692	subj_ext
5.98597782117603	6	2	busboy	None	no	3	8.33333333333333	1636418.95357143	subj_ext
10.9359338699241	6	3	who	None	no	3.5	12.75	1028324.78653846	subj_ext
10.6928936367671	6	4	brought	None	no	3	11.6666666666667	1164816.77142857	subj_ext
8.52040295319204	6	5	the	None	no	3	9.66666666666667	1359432.51724138	subj_ext
6.58114233986173	6	6	waiter	None	no	2.33333333333333	13.2222222222222	1120474.02935606	subj_ext
8.05220628547345	6	7	to	None	no	3	9.66666666666667	1444401.82758621	subj_ext
7.13211169775826	6	8	the	None	no	3	9	1496265	subj_ext
9.19825052294344	6	9	table	None	no	2.92857142857143	12.6071428571429	1227897.84449276	subj_ext
6.68300756063934	6	10	did	None	no	3	8	1717741.625	subj_ext
2.09916066588863	7	1	the	None	no	2	6.5	1440528.92307692	subj_ext
5.98597782117603	7	2	gardener	None	no	3	8.33333333333333	1636418.95357143	subj_ext
10.9359338699241	7	3	who	None	no	3.5	12.75	1028324.78653846	subj_ext
3.34395143919617	7	4	recommended	None	no	1	32	363545.3125	subj_ext
8.01863613144381	7	5	the	None	no	3	10	1314294.3	subj_ext
9.25234239999857	7	6	painter	None	yes	3.45454545454545	13.1818181818182	1433895.00946024	subj_ext
7.60464474292254	7	7	to	None	no	3	10	1353981	subj_ext
6.16466179510895	7	8	the	None	no	3	8.33333333333333	1547357.28	subj_ext
3.84474793972012	7	9	homeowner	None	yes	2	12	1081261.08333333	subj_ext
6.65144426830875	7	10	was	None	no	3	8	1655891.25	subj_ext
2.09916066588863	8	1	the	None	no	2	6.5	1440528.92307692	subj_ext
5.98597782117603	8	2	businessman	None	no	3	8.33333333333333	1636418.95357143	subj_ext
10.9359338699241	8	3	who	None	no	3.5	12.75	1028324.78653846	subj_ext
3.59201579684273	8	4	recommended	None	no	1	34	340254.382352941	subj_ext
8.01863613144381	8	5	the	None	no	3	10	1314294.3	subj_ext
9.29542761890257	8	6	banker	None	yes	3.45454545454545	13.1818181818182	1433208.91097539	subj_ext
